,Unnamed: 0,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,Rolling_avg
166,166,2020.01.06,Day1,10:00:54,0,5G,-104,-13.0,-5.0,14,-110,2693,24,D,
167,167,2020.01.06,Day1,10:00:56,0,5G,-104,-13.0,-5.0,14,-110,276,8,D,
168,168,2020.01.06,Day1,10:00:57,0,5G,-104,-13.0,-5.0,14,-110,4289,36,D,
169,169,2020.01.06,Day1,10:01:00,0,5G,-104,-13.0,-5.0,14,-110,278,8,D,
170,170,2020.01.06,Day1,10:01:02,0,5G,-104,-13.0,-5.0,14,-110,6196,36,D,
171,171,2020.01.06,Day1,10:01:04,0,5G,-104,-13.0,-5.0,14,-110,276,9,D,
172,172,2020.01.06,Day1,10:01:07,0,5G,-104,-13.0,-5.0,14,-110,7691,26,D,
173,173,2020.01.06,Day1,10:01:09,0,5G,-104,-13.0,-5.0,14,-110,6306,34,D,
174,174,2020.01.06,Day1,10:01:10,0,5G,-104,-13.0,-5.0,14,-110,278,8,D,
175,175,2020.01.06,Day1,10:01:12,0,5G,-104,-13.0,-5.0,14,-110,4078,28,D,
176,176,2020.01.06,Day1,10:01:13,0,5G,-104,-13.0,-5.0,14,-110,280,8,D,
177,177,2020.01.06,Day1,10:01:16,0,5G,-104,-13.0,-5.0,14,-110,2830,33,D,
178,178,2020.01.06,Day1,10:01:18,0,5G,-104,-13.0,-5.0,14,-110,2894,27,D,
179,179,2020.01.06,Day1,10:01:20,0,5G,-104,-13.0,-5.0,14,-110,3903,34,D,
180,180,2020.01.06,Day1,10:01:21,0,5G,-104,-13.0,-5.0,14,-110,278,8,D,
181,181,2020.01.06,Day1,10:01:24,0,5G,-104,-13.0,-5.0,14,-110,116,8,D,
182,182,2020.01.06,Day1,10:01:26,0,5G,-104,-13.0,-5.0,14,-110,276,8,D,
183,183,2020.01.06,Day1,10:01:28,0,5G,-104,-13.0,-5.0,14,-110,279,9,D,
184,184,2020.01.06,Day1,10:01:29,0,5G,-104,-13.0,-5.0,14,-110,5243,48,D,
185,185,2020.01.06,Day1,10:01:32,0,5G,-104,-13.0,-5.0,14,-110,280,9,D,
186,186,2020.01.06,Day1,10:01:34,0,5G,-104,-13.0,-5.0,14,-110,331,3,D,
187,187,2020.01.06,Day1,10:01:37,0,5G,-104,-13.0,-5.0,14,-110,277,10,D,
188,188,2020.01.06,Day1,10:01:38,0,5G,-104,-13.0,-5.0,14,-110,128,9,D,
189,189,2020.01.06,Day1,10:01:39,0,5G,-104,-13.0,-5.0,14,-110,632,1,D,
190,190,2020.01.06,Day1,10:01:40,0,5G,-104,-13.0,-5.0,14,-110,3486,32,D,
191,191,2020.01.06,Day1,10:01:42,0,5G,-104,-13.0,-5.0,14,-110,280,9,D,
192,192,2020.01.06,Day1,10:01:44,0,5G,-104,-13.0,-5.0,14,-110,3898,149,D,
193,193,2020.01.06,Day1,10:01:45,0,5G,-104,-13.0,-5.0,14,-110,27,689,D,
194,194,2020.01.06,Day1,10:01:46,0,5G,-104,-13.0,-5.0,14,-110,9153,46,D,
195,195,2020.01.06,Day1,10:01:48,0,5G,-104,-13.0,-5.0,14,-110,278,7,D,
196,196,2020.01.06,Day1,10:01:50,0,5G,-104,-13.0,-5.0,14,-110,12386,69,D,
197,197,2020.01.06,Day1,10:01:53,0,5G,-104,-13.0,-5.0,14,-110,274,8,D,
198,198,2020.01.06,Day1,10:01:55,0,5G,-104,-13.0,-5.0,14,-110,5576,32,D,
199,199,2020.01.06,Day1,10:01:56,0,5G,-104,-13.0,-5.0,14,-110,279,8,D,
200,200,2020.01.06,Day1,10:01:58,0,5G,-104,-13.0,-5.0,14,-110,7184,49,D,
201,201,2020.01.06,Day1,10:01:59,0,5G,-104,-13.0,-5.0,14,-110,276,8,D,
202,202,2020.01.06,Day1,10:02:02,0,5G,-104,-13.0,-5.0,14,-110,3126,31,D,
203,203,2020.01.06,Day1,10:02:04,0,5G,-104,-13.0,-5.0,14,-110,282,8,D,
204,204,2020.01.06,Day1,10:02:06,0,5G,-104,-13.0,-5.0,14,-110,2108,33,D,
205,205,2020.01.06,Day1,10:02:08,0,5G,-104,-13.0,-5.0,14,-110,274,11,D,
206,206,2020.01.06,Day1,10:02:09,0,5G,-104,-13.0,-5.0,14,-110,3170,13,D,
207,207,2020.01.06,Day1,10:02:10,0,5G,-104,-13.0,-5.0,14,-110,279,9,D,
208,208,2020.01.06,Day1,10:02:12,0,5G,-104,-13.0,-5.0,14,-110,10039,54,D,
209,209,2020.01.06,Day1,10:02:14,0,5G,-104,-13.0,-5.0,14,-110,279,8,D,
210,210,2020.01.06,Day1,10:02:16,0,5G,-104,-13.0,-5.0,14,-110,5911,31,D,
211,211,2020.01.06,Day1,10:02:18,0,5G,-104,-13.0,-5.0,14,-110,276,8,D,
212,212,2020.01.06,Day1,10:02:20,0,5G,-104,-13.0,-5.0,14,-110,5302,29,D,
213,213,2020.01.06,Day1,10:02:21,0,5G,-104,-13.0,-5.0,14,-110,280,9,D,
214,214,2020.01.06,Day1,10:02:25,0,5G,-104,-13.0,-5.0,14,-110,4102,15,D,
215,215,2020.01.06,Day1,10:02:26,0,5G,-104,-13.0,-5.0,14,-110,121,6,D,
216,216,2020.01.06,Day1,10:02:27,0,5G,-104,-13.0,-5.0,14,-110,5268,26,D,
217,217,2020.01.06,Day1,10:02:28,0,5G,-104,-13.0,-5.0,14,-110,280,5,D,
218,218,2020.01.06,Day1,10:02:30,0,5G,-104,-13.0,-5.0,14,-110,3469,21,D,
219,219,2020.01.06,Day1,10:02:32,0,5G,-104,-13.0,-5.0,14,-110,276,5,D,
220,220,2020.01.06,Day1,10:02:34,0,5G,-104,-13.0,-5.0,14,-110,14458,53,D,
221,221,2020.01.06,Day1,10:02:36,0,5G,-104,-13.0,-5.0,14,-110,277,4,D,
222,222,2020.01.06,Day1,10:02:39,0,5G,-104,-13.0,-5.0,14,-110,278,1,D,
223,223,2020.01.06,Day1,10:02:42,0,5G,-104,-13.0,-5.0,14,-110,4597,30,D,
224,224,2020.01.06,Day1,10:02:43,0,5G,-104,-13.0,-5.0,14,-110,277,8,D,
225,225,2020.01.06,Day1,10:02:45,0,5G,-104,-13.0,-5.0,14,-110,27,842,D,
226,226,2020.01.06,Day1,10:02:46,0,5G,-104,-13.0,-5.0,14,-110,6653,34,D,
227,227,2020.01.06,Day1,10:02:48,0,5G,-104,-13.0,-5.0,14,-110,7937,31,D,
228,228,2020.01.06,Day1,10:02:50,0,5G,-104,-13.0,-5.0,14,-110,5425,31,D,
229,229,2020.01.06,Day1,10:02:52,0,5G,-104,-13.0,-5.0,14,-110,278,8,D,
230,230,2020.01.06,Day1,10:02:55,0,5G,-104,-13.0,-5.0,14,-110,25531,70,D,
231,231,2020.01.06,Day1,10:02:56,0,5G,-104,-13.0,-5.0,14,-110,276,8,D,
232,232,2020.01.06,Day1,10:02:57,0,5G,-104,-13.0,-5.0,14,-110,46,87,D,
233,233,2020.01.06,Day1,10:02:58,0,5G,-104,-13.0,-5.0,14,-110,298,1195,D,
234,234,2020.01.06,Day1,10:02:59,0,5G,-104,-13.0,-5.0,14,-110,9434,1153,D,
235,235,2020.01.06,Day1,10:03:00,0,5G,-104,-13.0,-5.0,14,-110,25,1109,D,
236,236,2020.01.06,Day1,10:03:01,0,5G,-104,-13.0,-5.0,14,-110,22,1110,D,
237,237,2020.01.06,Day1,10:03:02,0,5G,-104,-13.0,-5.0,14,-110,301,1121,D,
238,238,2020.01.06,Day1,10:03:03,0,5G,-104,-13.0,-5.0,14,-110,25,1110,D,
239,239,2020.01.06,Day1,10:03:04,0,5G,-104,-13.0,-5.0,14,-110,4999,32,D,
240,240,2020.01.06,Day1,10:03:05,0,5G,-104,-13.0,-5.0,14,-110,277,8,D,
241,241,2020.01.06,Day1,10:03:09,0,5G,-104,-13.0,-5.0,14,-110,2394,27,D,
242,242,2020.01.06,Day1,10:03:10,0,5G,-104,-13.0,-5.0,14,-110,171,6,D,
243,243,2020.01.06,Day1,10:03:12,0,5G,-104,-13.0,-5.0,14,-110,277,9,D,
244,244,2020.01.06,Day1,10:03:14,0,5G,-104,-13.0,-5.0,14,-110,22445,62,D,
245,245,2020.01.06,Day1,10:03:16,0,5G,-104,-13.0,-5.0,14,-110,278,6,D,
246,246,2020.01.06,Day1,10:03:18,0,5G,-104,-13.0,-5.0,14,-110,16196,70,D,
247,247,2020.01.06,Day1,10:03:20,0,5G,-104,-13.0,-5.0,14,-110,275,7,D,
248,248,2020.01.06,Day1,10:03:22,0,5G,-104,-13.0,-5.0,14,-110,11197,50,D,
249,249,2020.01.06,Day1,10:03:23,0,5G,-104,-13.0,-5.0,14,-110,278,4,D,
250,250,2020.01.06,Day1,10:03:25,0,5G,-104,-13.0,-5.0,14,-110,9446,28,D,
251,251,2020.01.06,Day1,10:03:27,0,5G,-104,-13.0,-5.0,14,-110,159,3,D,
252,252,2020.01.06,Day1,10:03:28,0,5G,-104,-13.0,-5.0,14,-110,3840,18,D,
253,253,2020.01.06,Day1,10:03:30,0,5G,-104,-13.0,-5.0,14,-110,4054,36,D,
254,254,2020.01.06,Day1,10:03:31,0,5G,-104,-13.0,-5.0,14,-110,38,7,D,
255,255,2020.01.06,Day1,10:03:32,0,5G,-104,-13.0,-5.0,14,-110,4935,29,D,
256,256,2020.01.06,Day1,10:03:34,0,5G,-104,-13.0,-5.0,14,-110,278,8,D,
257,257,2020.01.06,Day1,10:03:36,0,5G,-104,-13.0,-5.0,14,-110,6955,43,D,
258,258,2020.01.06,Day1,10:03:37,0,5G,-104,-13.0,-5.0,14,-110,276,8,D,
259,259,2020.01.06,Day1,10:03:41,0,5G,-104,-13.0,-5.0,14,-110,2835,27,D,
260,260,2020.01.06,Day1,10:03:44,0,5G,-104,-13.0,-5.0,14,-110,5075,44,D,
261,261,2020.01.06,Day1,10:03:45,0,5G,-104,-13.0,-5.0,14,-110,29,861,D,
