,Date,Day,Day_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
243,2019.11.28,,,07.32.17,,26,5G,-85,-9,9.0,12,-66,1417,27,D
246,2019.11.28,,,07.32.19,,46,5G,-86,-8,8.0,12,-66,3137,37,D
248,2019.11.28,,,07.32.22,,46,5G,-79,-9,8.0,12,-66,280,9,D
249,2019.11.28,,,07.32.23,,46,5G,-70,-9,18.0,13,-63,886,17,D
250,2019.11.28,,,07.32.24,,46,5G,-70,-9,18.0,15,-65,280,9,D
252,2019.11.28,,,07.32.26,,46,5G,-82,-9,8.0,15,-75,281,10,D
253,2019.11.28,,,07.32.27,,47,5G,-82,-9,8.0,15,-75,281,10,D
254,2019.11.28,,,07.32.27,,47,5G,-92,-10,15.0,15,-72,646,15,D
255,2019.11.28,,,07.32.28,,47,5G,-92,-10,15.0,15,-72,275,8,D
257,2019.11.28,,,07.32.31,,47,5G,-84,-10,21.0,15,-74,1882,22,D
260,2019.11.28,,,07.32.34,,47,5G,-84,-14,6.0,15,-68,280,10,D
261,2019.11.28,,,07.32.35,,47,5G,-84,-14,6.0,15,-68,2005,34,D
263,2019.11.28,,,07.32.38,,47,5G,-86,-13,9.0,15,-65,282,10,D
264,2019.11.28,,,07.32.38,,25,5G,-86,-13,9.0,15,-65,282,10,D
266,2019.11.28,,,07.32.40,,25,5G,-79,-11,8.0,15,-60,2023,35,D
268,2019.11.28,,,07.32.42,,25,5G,-81,-14,8.0,15,-62,279,6,D
269,2019.11.28,,,07.32.43,,25,5G,-79,-11,3.0,14,-64,1834,25,D
270,2019.11.28,,,07.32.44,,25,5G,-79,-11,3.0,14,-64,276,8,D
272,2019.11.28,,,07.32.47,,25,5G,-79,-10,14.0,12,-62,779,18,D
273,2019.11.28,,,07.32.48,,25,5G,-79,-10,6.0,12,-62,205,3,D
274,2019.11.28,,,07.32.49,,25,5G,-79,-10,6.0,12,-62,1027,33,D
276,2019.11.28,,,07.32.51,,25,5G,-80,-12,10.0,12,-62,1036,24,D
277,2019.11.28,,,07.32.52,,25,5G,-80,-8,11.0,12,-62,306,4,D
278,2019.11.28,,,07.32.53,,25,5G,-80,-8,11.0,12,-62,282,10,D
279,2019.11.28,,,07.32.55,,25,5G,-80,-9,14.0,12,-62,955,21,D
281,2019.11.28,,,07.32.57,,25,5G,-80,-9,0.0,12,-62,27,875,D
282,2019.11.28,,,07.32.58,,25,5G,-80,-9,0.0,12,-62,282,11,D
283,2019.11.28,,,07.32.59,,25,5G,-84,-10,4.0,10,-64,1941,42,D
286,2019.11.28,,,07.33.03,,25,5G,-87,-15,10.0,8,-71,1612,36,D
287,2019.11.28,,,07.33.04,,25,5G,-94,-10,8.0,12,-74,281,10,D
