,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
1663,08.32.11,0,5G,-88,-16,-7.0,7,-68,2,4,D
1665,08.32.14,0,5G,-90,-17,2.0,10,-71,18,6,D
1667,08.32.16,0,5G,-90,-13,1.0,12,-68,2,4,D
1670,08.32.19,0,5G,-91,-15,-3.0,12,-68,21965,124,D
1683,08.32.33,0,5G,-90,-13,3.0,11,-73,2,4,D
1684,08.32.34,0,5G,-90,-13,3.0,11,-73,2,4,D
1686,08.32.36,0,5G,-90,-17,-2.0,10,-71,2,4,D
1702,08.32.54,0,5G,-91,-16,4.0,12,-71,2,4,D
1704,08.32.56,0,5G,-90,-12,-8.0,12,-71,2,4,D
1706,08.32.58,0,5G,-91,-15,-8.0,12,-71,2,4,D
1712,08.33.04,0,5G,-90,-14,-7.0,12,-71,23150,144,D
1720,08.33.13,0,5G,-90,-13,-3.0,12,-71,15,26,D
1722,08.33.15,0,5G,-90,-13,1.0,12,-71,2,4,D
1723,08.33.16,0,5G,-90,-14,0.0,12,-71,2,4,D
1725,08.33.18,0,5G,-90,-12,0.0,12,-71,2,4,D
1741,08.33.36,0,5G,-89,-13,-4.0,10,-68,2,4,D
